0,54
1,55
2,41
3,54
4,54
5,8
6,8
7,8
8,51
9,51
10,8
11,39
12,8
13,8
14,38
15,38
16,44
17,44
18,44
19,13
20,50
21,48
22,43
23,15
24,27
25,15
26,27
27,34
28,20
29,20
30,9
31,24
32,23
33,7
34,16
35,14
36,14
37,14
38,2
39,2
40,19
41,19
42,18
43,37
44,45
45,46
46,52
47,47
48,35
49,35
50,21
51,21
52,21
53,30
54,30
55,26
56,26
57,26
58,25
59,25
60,12
61,28
62,29
63,29
64,1
65,6
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,3
76,3
77,3
78,3
79,10
80,10
81,17
82,3
83,3
84,22
85,22
86,31
87,5
88,49
89,42
90,32
91,32
92,32
93,40
94,53
95,36
96,11
97,11
98,11
99,33
100,0
101,0
102,0
